item.id|age_group|like.feat|dislike.feat|like.all|dislike.all|odd.ratio
0|old|229|85|321|131|1.0994685724757192
0|young|92|46|321|131|0.8161993769470405
1|old|29|44|51|80|1.033868092691622
1|young|22|36|51|80|0.9586056644880174
2|old|10|31|34|56|0.5313092979127134
2|young|24|25|34|56|1.5811764705882354
3|old|85|63|122|87|0.9621389539422326
3|young|37|24|122|87|1.0993852459016393
4|old|25|27|39|47|1.1158594491927825
4|young|14|20|39|47|0.8435897435897436
5|old|11|9|15|11|0.8962962962962961
5|young|4|2|15|11|1.4666666666666666
6|old|166|90|263|129|0.9046894803548795
6|young|97|39|263|129|1.219947353027201
7|old|118|40|155|64|1.2180645161290322
7|young|37|24|155|64|0.6365591397849463
8|old|156|70|211|88|0.9294515910629655
8|young|55|18|211|88|1.2743549236440233
9|old|51|24|59|30|1.0805084745762712
9|young|8|6|59|30|0.6779661016949152
10|old|95|48|167|69|0.8177395209580839
10|young|72|21|167|69|1.416595380667237
11|old|149|23|232|35|0.9773238380809596
11|young|83|12|232|35|1.0434626436781609
12|old|76|73|94|90|0.9967939376275138
12|young|18|17|94|90|1.0137672090112642
13|old|113|43|133|50|0.9879349536632278
13|young|20|7|133|50|1.074113856068743
14|old|135|77|188|105|0.9792069632495165
14|young|53|28|188|105|1.0571808510638299
15|old|12|18|16|23|0.9583333333333333
15|young|4|5|16|23|1.1500000000000001
16|old|13|28|41|51|0.5775261324041812
16|young|28|23|41|51|1.5143160127253448
17|old|2|7|3|7|0.6666666666666666
17|young|1|0|3|7|3.0
18|old|42|17|50|19|0.9388235294117646
18|young|8|2|50|19|1.52
19|old|35|29|40|32|0.9655172413793104
19|young|5|3|40|32|1.3333333333333333
20|old|7|50|15|69|0.644
20|young|8|19|15|69|1.936842105263158
21|old|151|47|232|65|0.9001283932501835
21|young|81|18|232|65|1.2607758620689655
22|old|100|31|146|36|0.7954043305346884
22|young|46|5|146|36|2.268493150684931
23|old|43|49|90|84|0.819047619047619
23|young|47|35|90|84|1.2533333333333334
24|old|111|101|154|139|0.9919634820624919
24|young|43|38|154|139|1.0213602187286397
25|old|22|29|30|43|1.0873563218390805
25|young|8|14|30|43|0.819047619047619
26|old|9|12|22|35|1.1931818181818183
26|young|13|23|22|35|0.8992094861660079
27|old|140|51|200|76|1.0431372549019609
27|young|60|25|200|76|0.9119999999999999
28|old|9|61|20|94|0.6934426229508197
28|young|11|33|20|94|1.5666666666666667
29|old|27|5|30|7|1.26
29|young|3|2|30|7|0.35000000000000003
30|old|67|36|93|61|1.2207287933094386
30|young|26|25|93|61|0.6821505376344085
31|old|37|24|53|28|0.8144654088050315
31|young|16|4|53|28|2.1132075471698113
32|old|21|25|50|47|0.7896
32|young|29|22|50|47|1.239090909090909
33|old|1|3|2|5|0.8333333333333334
33|young|1|2|2|5|1.25
34|old|2|5|2|9|1.7999999999999998
34|young|0|4|2|9|0.5625
35|old|0|6|1|12|0.6666666666666666
35|young|1|6|1|12|2.0
36|old|1|2|1|7|3.5
36|young|0|5|1|7|0.4666666666666666
37|old|15|55|30|90|0.8181818181818181
37|young|15|35|30|90|1.2857142857142856
38|old|22|31|38|49|0.9151103565365025
38|young|16|18|38|49|1.1461988304093567
39|old|12|25|19|38|0.9599999999999999
39|young|7|13|19|38|1.0769230769230769
40|old|0|11|13|24|0.14545454545454545
40|young|13|13|13|24|1.8461538461538463
41|old|52|35|96|52|0.8047619047619047
41|young|44|17|96|52|1.4019607843137254
42|old|7|20|10|30|1.05
42|young|3|10|10|30|0.9
43|old|27|29|38|41|1.0045372050816697
43|young|11|12|38|41|0.9890350877192984
44|old|48|19|58|22|0.9582577132486388
44|young|10|3|58|22|1.2643678160919543
45|old|12|7|16|11|1.1785714285714286
45|young|4|4|16|11|0.6875
46|old|56|42|79|54|0.9113924050632911
46|young|23|12|79|54|1.3101265822784811
47|old|70|16|96|21|0.95703125
47|young|26|5|96|21|1.1375
48|old|21|31|33|48|0.9853372434017594
48|young|12|17|33|48|1.0267379679144384
49|old|350|60|501|82|0.9547571523619428
49|young|151|22|501|82|1.1233895844674289
50|old|27|25|45|36|0.864
50|young|18|11|45|36|1.309090909090909
51|old|51|25|56|35|1.275
51|young|5|10|56|35|0.3125
52|old|31|43|51|77|1.0884632922936617
52|young|20|34|51|77|0.8881199538638985
53|old|27|38|40|64|1.1368421052631579
53|young|13|26|40|64|0.8
54|old|57|30|97|52|1.018556701030928
54|young|40|22|97|52|0.9746954076850983
55|old|188|73|294|100|0.8759668250861989
55|young|106|27|294|100|1.3353489543965733
56|old|24|7|30|10|1.142857142857143
56|young|6|3|30|10|0.6666666666666667
57|old|78|52|103|72|1.0485436893203883
57|young|25|20|103|72|0.8737864077669902
58|old|47|12|66|17|1.0088383838383839
58|young|19|5|66|17|0.9787878787878789
59|old|31|13|46|18|0.9331103678929766
59|young|15|5|46|18|1.1739130434782608
60|old|26|16|41|18|0.7134146341463415
60|young|15|2|41|18|3.2926829268292686
61|old|25|54|43|84|0.9043927648578811
61|young|18|30|43|84|1.172093023255814
62|old|19|36|26|56|1.1367521367521367
62|young|7|20|26|56|0.7538461538461538
63|old|172|21|255|28|0.8993464052287582
63|young|83|7|255|28|1.3019607843137255
64|old|49|28|69|46|1.1666666666666667
64|young|20|18|69|46|0.7407407407407407
65|old|58|55|85|77|0.9552941176470588
65|young|27|22|85|77|1.111764705882353
66|old|23|34|43|60|0.9439124487004104
66|young|20|26|43|60|1.073345259391771
