item.id|job|like.feat|dislike.feat|like.all|dislike.all|odd.ratio
0|administrator|24|7|321|131|1.3991989319092122
0|artist|10|2|321|131|2.040498442367601
0|doctor|2|2|321|131|0.40809968847352024
0|educator|27|14|321|131|0.7870493991989319
0|engineer|35|11|321|131|1.2984990087793826
0|entertainment|6|5|321|131|0.48971962616822423
0|executive|12|5|321|131|0.9794392523364485
0|healthcare|4|3|321|131|0.5441329179646937
0|homemaker|1|1|321|131|0.40809968847352024
0|lawyer|6|0|321|131|2.485981308411215
0|librarian|10|7|321|131|0.5829995549621718
0|marketing|8|2|321|131|1.632398753894081
0|none|4|2|321|131|0.8161993769470405
0|other|39|12|321|131|1.3263239875389408
0|programmer|29|6|321|131|1.9724818276220144
0|retired|2|1|321|131|0.8161993769470405
0|salesman|3|1|321|131|1.2242990654205608
0|scientist|7|4|321|131|0.7141744548286604
0|student|70|35|321|131|0.8161993769470405
0|technician|12|5|321|131|0.9794392523364485
0|writer|10|6|321|131|0.6801661474558671
1|administrator|3|2|51|80|2.352941176470588
1|artist|0|1|51|80|1.5094339622641508
1|educator|2|4|51|80|0.7843137254901961
1|engineer|6|10|51|80|0.9411764705882353
1|entertainment|1|1|51|80|1.5686274509803921
1|executive|3|1|51|80|4.705882352941176
1|healthcare|1|2|51|80|0.7843137254901961
1|lawyer|1|0|51|80|1.6078431372549018
1|librarian|0|1|51|80|1.5094339622641508
1|marketing|0|2|51|80|0.7547169811320754
1|none|2|0|51|80|3.2156862745098036
1|other|8|7|51|80|1.792717086834734
1|programmer|7|10|51|80|1.0980392156862746
1|retired|0|1|51|80|1.5094339622641508
1|scientist|0|2|51|80|0.7547169811320754
1|student|15|24|51|80|0.9803921568627452
1|technician|0|7|51|80|0.215633423180593
1|writer|2|5|51|80|0.6274509803921569
2|administrator|2|2|34|56|1.647058823529412
2|educator|2|3|34|56|1.0980392156862746
2|engineer|5|6|34|56|1.3725490196078434
2|entertainment|0|2|34|56|0.7777777777777778
2|executive|0|1|34|56|1.5555555555555556
2|healthcare|0|2|34|56|0.7777777777777778
2|librarian|0|3|34|56|0.5185185185185185
2|marketing|0|3|34|56|0.5185185185185185
2|none|1|1|34|56|1.647058823529412
2|other|4|5|34|56|1.3176470588235294
2|programmer|3|5|34|56|0.9882352941176471
2|salesman|0|1|34|56|1.5555555555555556
2|student|13|20|34|56|1.0705882352941176
2|technician|4|0|34|56|6.823529411764706
2|writer|0|2|34|56|0.7777777777777778
3|administrator|8|8|122|87|0.7131147540983607
3|artist|3|0|122|87|2.1885245901639343
3|doctor|0|1|122|87|0.7016129032258065
3|educator|10|9|122|87|0.7923497267759563
3|engineer|16|7|122|87|1.629976580796253
3|entertainment|2|1|122|87|1.4262295081967213
3|executive|2|4|122|87|0.35655737704918034
3|healthcare|1|1|122|87|0.7131147540983607
3|lawyer|3|0|122|87|2.1885245901639343
3|librarian|7|5|122|87|0.9983606557377049
3|marketing|1|1|122|87|0.7131147540983607
3|none|1|1|122|87|0.7131147540983607
3|other|7|11|122|87|0.4538002980625931
3|programmer|13|7|122|87|1.3243559718969555
3|retired|3|2|122|87|1.069672131147541
3|salesman|3|1|122|87|2.139344262295082
3|scientist|4|2|122|87|1.4262295081967213
3|student|29|17|122|87|1.2164898746383799
3|technician|2|6|122|87|0.2377049180327869
3|writer|7|3|122|87|1.6639344262295082
4|administrator|2|4|39|47|0.6025641025641025
4|educator|2|2|39|47|1.205128205128205
4|engineer|1|4|39|47|0.30128205128205127
4|entertainment|2|3|39|47|0.8034188034188035
4|executive|2|0|39|47|2.5128205128205128
4|healthcare|1|1|39|47|1.205128205128205
4|lawyer|0|1|39|47|1.1463414634146343
4|librarian|3|3|39|47|1.2051282051282053
4|marketing|0|1|39|47|1.1463414634146343
4|none|2|0|39|47|2.5128205128205128
4|other|7|4|39|47|2.108974358974359
4|programmer|3|4|39|47|0.903846153846154
4|retired|1|1|39|47|1.205128205128205
4|salesman|1|0|39|47|1.2564102564102564
4|scientist|1|1|39|47|1.205128205128205
4|student|8|11|39|47|0.8764568764568764
4|technician|1|2|39|47|0.6025641025641025
4|writer|2|5|39|47|0.482051282051282
5|administrator|2|0|15|11|1.7333333333333332
5|educator|4|1|15|11|2.933333333333333
5|engineer|0|1|15|11|0.6470588235294117
5|executive|0|1|15|11|0.6470588235294117
5|healthcare|1|0|15|11|0.8666666666666666
5|librarian|1|2|15|11|0.36666666666666664
5|marketing|0|2|15|11|0.32352941176470584
5|other|3|0|15|11|2.6
5|scientist|0|1|15|11|0.6470588235294117
5|student|3|3|15|11|0.7333333333333334
5|technician|1|0|15|11|0.8666666666666666
6|administrator|23|6|263|129|1.8802281368821292
6|artist|7|3|263|129|1.144486692015209
6|doctor|0|2|263|129|0.24339622641509434
6|educator|23|12|263|129|0.9401140684410646
6|engineer|26|8|263|129|1.5941064638783269
6|entertainment|6|4|263|129|0.7357414448669202
6|executive|10|6|263|129|0.8174904942965779
6|healthcare|4|3|263|129|0.6539923954372624
6|homemaker|1|0|263|129|0.4980988593155894
6|lawyer|3|1|263|129|1.4714828897338403
6|librarian|11|4|263|129|1.3488593155893536
6|marketing|3|0|263|129|1.494296577946768
6|none|4|1|263|129|1.9619771863117872
6|other|22|17|263|129|0.6347573249832251
6|programmer|23|12|263|129|0.9401140684410646
6|retired|1|1|263|129|0.4904942965779468
6|salesman|1|1|263|129|0.4904942965779468
6|scientist|6|2|263|129|1.4714828897338403
6|student|70|35|263|129|0.9809885931558936
6|technician|10|2|263|129|2.4524714828897336
6|writer|9|9|263|129|0.4904942965779468
7|administrator|11|4|155|64|1.135483870967742
7|artist|8|1|155|64|3.303225806451613
7|educator|16|8|155|64|0.8258064516129032
7|engineer|11|3|155|64|1.5139784946236559
7|entertainment|4|1|155|64|1.6516129032258065
7|executive|3|2|155|64|0.6193548387096774
7|healthcare|2|2|155|64|0.4129032258064516
7|lawyer|2|0|155|64|0.8516129032258064
7|librarian|10|3|155|64|1.3763440860215053
7|marketing|1|2|155|64|0.2064516129032258
7|none|2|1|155|64|0.8258064516129032
7|other|14|7|155|64|0.8258064516129032
7|programmer|13|4|155|64|1.3419354838709678
7|retired|5|1|155|64|2.064516129032258
7|salesman|2|0|155|64|0.8516129032258064
7|scientist|3|2|155|64|0.6193548387096774
7|student|35|17|155|64|0.8500948766603416
7|technician|4|3|155|64|0.5505376344086022
7|writer|9|3|155|64|1.238709677419355
8|administrator|22|5|211|88|1.8350710900473932
8|artist|5|2|211|88|1.0426540284360188
8|doctor|0|1|211|88|0.4131455399061033
8|educator|24|8|211|88|1.2511848341232226
8|engineer|22|4|211|88|2.2938388625592414
8|entertainment|3|1|211|88|1.2511848341232226
8|executive|4|6|211|88|0.2780410742496051
8|healthcare|4|4|211|88|0.4170616113744076
8|homemaker|0|1|211|88|0.4131455399061033
8|lawyer|4|0|211|88|1.7061611374407584
8|librarian|19|1|211|88|7.924170616113744
8|marketing|2|2|211|88|0.4170616113744076
8|none|2|1|211|88|0.8341232227488152
8|other|21|14|211|88|0.6255924170616114
8|programmer|17|6|211|88|1.1816745655608216
8|retired|3|2|211|88|0.6255924170616113
8|salesman|2|2|211|88|0.4170616113744076
8|scientist|6|2|211|88|1.2511848341232226
8|student|34|18|211|88|0.7877830437072143
8|technician|8|2|211|88|1.6682464454976305
8|writer|9|6|211|88|0.6255924170616115
9|administrator|5|2|59|30|1.271186440677966
9|artist|2|0|59|30|1.0847457627118644
9|doctor|1|0|59|30|0.5423728813559322
9|educator|13|1|59|30|6.610169491525424
9|engineer|6|2|59|30|1.5254237288135595
9|entertainment|2|0|59|30|1.0847457627118644
9|executive|2|1|59|30|1.0169491525423728
9|healthcare|0|1|59|30|0.49180327868852464
9|librarian|6|3|59|30|1.0169491525423728
9|marketing|1|0|59|30|0.5423728813559322
9|other|4|4|59|30|0.5084745762711864
9|programmer|5|1|59|30|2.542372881355932
9|retired|2|1|59|30|1.0169491525423728
9|scientist|1|0|59|30|0.5423728813559322
9|student|6|8|59|30|0.38135593220338987
9|technician|0|3|59|30|0.16393442622950818
9|writer|3|3|59|30|0.5084745762711864
10|administrator|7|5|167|69|0.578443113772455
10|artist|3|1|167|69|1.2395209580838322
10|educator|14|5|167|69|1.15688622754491
10|engineer|13|2|167|69|2.6856287425149703
10|entertainment|3|2|167|69|0.6197604790419161
10|executive|4|2|167|69|0.8263473053892216
10|healthcare|4|2|167|69|0.8263473053892216
10|homemaker|0|1|167|69|0.40828402366863903
10|lawyer|3|0|167|69|1.2754491017964071
10|librarian|7|5|167|69|0.578443113772455
10|marketing|1|1|167|69|0.4131736526946108
10|none|2|1|167|69|0.8263473053892216
10|other|18|8|167|69|0.9296407185628742
10|programmer|20|6|167|69|1.377245508982036
10|retired|1|1|167|69|0.4131736526946108
10|salesman|2|0|167|69|0.8502994011976048
10|scientist|6|2|167|69|1.2395209580838322
10|student|52|17|167|69|1.26382529059528
10|technician|3|4|167|69|0.30988023952095806
10|writer|4|4|167|69|0.4131736526946108
11|administrator|16|2|232|35|1.206896551724138
11|artist|5|1|232|35|0.7543103448275863
11|doctor|3|0|232|35|0.47844827586206895
11|educator|14|2|232|35|1.0560344827586208
11|engineer|22|3|232|35|1.1063218390804597
11|entertainment|5|0|232|35|0.7974137931034483
11|executive|8|2|232|35|0.603448275862069
11|healthcare|5|1|232|35|0.7543103448275863
11|lawyer|3|0|232|35|0.47844827586206895
11|librarian|12|3|232|35|0.603448275862069
11|marketing|3|1|232|35|0.4525862068965517
11|none|2|0|232|35|0.3189655172413793
11|other|20|5|232|35|0.6034482758620691
11|programmer|21|3|232|35|1.0560344827586208
11|retired|4|1|232|35|0.603448275862069
11|salesman|3|0|232|35|0.47844827586206895
11|scientist|10|1|232|35|1.5086206896551726
11|student|58|5|232|35|1.75
11|technician|5|1|232|35|0.7543103448275863
11|writer|13|4|232|35|0.49030172413793105
12|administrator|5|8|94|90|0.5984042553191489
12|artist|6|2|94|90|2.8723404255319145
12|doctor|2|0|94|90|1.9574468085106382
12|educator|14|8|94|90|1.675531914893617
12|engineer|9|6|94|90|1.4361702127659575
12|entertainment|4|0|94|90|3.9148936170212765
12|executive|4|3|94|90|1.2765957446808511
12|healthcare|2|3|94|90|0.6382978723404256
12|homemaker|0|1|94|90|0.9374999999999999
12|lawyer|0|2|94|90|0.46874999999999994
12|librarian|8|6|94|90|1.2765957446808511
12|marketing|4|1|94|90|3.829787234042553
12|other|6|15|94|90|0.3829787234042553
12|programmer|5|10|94|90|0.4787234042553192
12|retired|0|1|94|90|0.9374999999999999
12|salesman|0|2|94|90|0.46874999999999994
12|scientist|3|3|94|90|0.9574468085106382
12|student|14|13|94|90|1.0310965630114566
12|technician|5|1|94|90|4.787234042553191
12|writer|3|5|94|90|0.5744680851063829
13|administrator|14|4|133|50|1.3157894736842104
13|artist|7|0|133|50|2.7368421052631575
13|doctor|1|1|133|50|0.37593984962406013
13|educator|25|7|133|50|1.342642320085929
13|engineer|8|6|133|50|0.5012531328320802
13|executive|4|1|133|50|1.5037593984962405
13|healthcare|0|3|133|50|0.1234567901234568
13|lawyer|3|0|133|50|1.1729323308270676
13|librarian|8|8|133|50|0.37593984962406013
13|marketing|4|2|133|50|0.7518796992481203
13|other|17|3|133|50|2.1303258145363406
13|programmer|4|1|133|50|1.5037593984962405
13|retired|2|1|133|50|0.7518796992481203
13|salesman|1|0|133|50|0.39097744360902253
13|scientist|7|1|133|50|2.631578947368421
13|student|21|3|133|50|2.631578947368421
13|technician|3|0|133|50|1.1729323308270676
13|writer|4|9|133|50|0.1670843776106934
14|administrator|17|7|188|105|1.3563829787234043
14|artist|0|5|188|105|0.1105263157894737
14|doctor|3|0|188|105|1.7074468085106382
14|educator|20|8|188|105|1.3962765957446808
14|engineer|10|11|188|105|0.5077369439071566
14|entertainment|3|3|188|105|0.5585106382978723
14|executive|8|6|188|105|0.7446808510638298
14|healthcare|2|2|188|105|0.5585106382978723
14|homemaker|1|1|188|105|0.5585106382978723
14|lawyer|0|3|188|105|0.18421052631578946
14|librarian|8|4|188|105|1.1170212765957446
14|marketing|4|3|188|105|0.7446808510638298
14|none|2|1|188|105|1.1170212765957446
14|other|31|7|188|105|2.473404255319149
14|programmer|20|6|188|105|1.8617021276595744
14|retired|2|3|188|105|0.3723404255319149
14|salesman|2|0|188|105|1.1382978723404256
14|scientist|5|1|188|105|2.7925531914893615
14|student|36|24|188|105|0.8377659574468085
14|technician|8|3|188|105|1.4893617021276595
14|writer|6|7|188|105|0.4787234042553191
15|administrator|1|1|16|23|1.4375
15|artist|1|2|16|23|0.71875
15|educator|2|4|16|23|0.71875
15|engineer|0|3|16|23|0.42592592592592593
15|executive|0|1|16|23|1.2777777777777777
15|healthcare|1|0|16|23|1.5625
15|lawyer|1|0|16|23|1.5625
15|librarian|1|0|16|23|1.5625
15|other|3|4|16|23|1.078125
15|programmer|1|1|16|23|1.4375
15|retired|0|1|16|23|1.2777777777777777
15|scientist|2|2|16|23|1.4375
15|student|1|2|16|23|0.71875
15|technician|1|1|16|23|1.4375
15|writer|1|1|16|23|1.4375
16|administrator|0|3|41|51|0.3953488372093023
16|artist|1|0|41|51|1.2926829268292683
16|doctor|0|1|41|51|1.186046511627907
16|educator|1|4|41|51|0.31097560975609756
16|engineer|2|6|41|51|0.41463414634146345
16|entertainment|0|1|41|51|1.186046511627907
16|executive|1|2|41|51|0.6219512195121951
16|librarian|0|2|41|51|0.5930232558139535
16|marketing|1|0|41|51|1.2926829268292683
16|none|1|0|41|51|1.2926829268292683
16|other|7|4|41|51|2.1768292682926833
16|programmer|3|4|41|51|0.9329268292682926
16|retired|1|0|41|51|1.2926829268292683
16|student|20|14|41|51|1.7770034843205573
16|technician|1|5|41|51|0.24878048780487805
16|writer|2|5|41|51|0.4975609756097561
17|educator|1|2|3|7|1.1666666666666667
17|executive|0|1|3|7|1.4000000000000001
17|healthcare|0|1|3|7|1.4000000000000001
17|librarian|0|1|3|7|1.4000000000000001
17|marketing|0|1|3|7|1.4000000000000001
17|scientist|0|1|3|7|1.4000000000000001
17|technician|1|0|3|7|3.0
17|writer|1|0|3|7|3.0
18|administrator|6|0|50|19|2.52
18|artist|2|0|50|19|0.8400000000000001
18|doctor|0|1|50|19|0.3653846153846154
18|educator|6|4|50|19|0.5700000000000001
18|engineer|3|1|50|19|1.1400000000000001
18|executive|2|1|50|19|0.76
18|healthcare|1|2|50|19|0.19
18|librarian|6|4|50|19|0.5700000000000001
18|other|10|2|50|19|1.9000000000000001
18|programmer|3|0|50|19|1.26
18|retired|0|1|50|19|0.3653846153846154
18|scientist|2|0|50|19|0.8400000000000001
18|student|4|2|50|19|0.76
18|technician|1|0|50|19|0.42000000000000004
18|writer|4|1|50|19|1.52
19|administrator|2|2|40|32|0.8
19|artist|3|0|40|32|2.55
19|doctor|0|1|40|32|0.7619047619047619
19|educator|4|6|40|32|0.5333333333333333
19|engineer|2|3|40|32|0.5333333333333333
